PM2.5,PM10,CO,NO2,Temperature,Humidity,AQI
144,68,0.66,65,44.8,27.1,187
205,192,2.11,167,12.6,17.2,256
67,101,3.27,52,42.8,66.0,136
123,64,3.59,147,20.1,67.7,147
246,39,0.97,75,34.1,23.8,218
84,240,0.49,147,21.8,12.3,209
166,142,4.71,138,43.9,42.7,273
129,253,1.38,72,13.6,56.6,153
173,240,4.28,26,27.4,66.5,200
226,22,4.33,36,25.0,74.8,152
30,201,3.89,127,21.4,58.8,149
173,225,0.93,26,32.6,18.9,220
147,59,4.13,159,14.6,64.6,160
110,78,3.87,114,35.1,88.7,144
210,81,3.02,19,44.3,82.4,173
161,151,1.75,128,38.2,79.7,191
201,79,1.39,48,40.1,34.2,203
236,141,0.7,119,22.6,70.1,190
186,126,2.6,13,21.4,78.1,126
108,115,2.97,38,28.1,64.3,125
249,254,1.86,77,11.6,30.0,243
45,81,2.43,147,43.1,86.3,129
219,275,1.88,194,15.0,46.1,272
240,68,3.24,49,41.6,20.4,255
105,178,4.52,76,12.9,18.8,188
161,143,0.9,62,38.8,61.8,173
160,226,1.97,119,15.3,45.0,200
199,67,0.79,23,11.3,17.6,141
233,155,3.16,20,35.2,69.2,203
46,220,3.67,79,19.8,73.9,123
21,269,4.67,110,35.0,68.0,183
122,228,1.47,140,29.4,26.2,232
192,230,4.76,165,13.8,65.2,241
22,211,0.41,78,42.6,10.9,183
32,63,3.05,22,25.8,34.4,91
226,48,0.38,167,35.7,41.9,227
108,78,4.48,47,27.5,76.8,119
114,90,2.7,54,31.2,41.2,153
39,111,3.38,7,20.6,10.9,119
26,284,4.17,63,17.0,38.2,160
122,239,0.84,32,29.0,49.9,162
71,234,0.29,50,25.4,85.9,93
93,296,4.41,68,23.7,85.3,168
121,83,1.64,74,33.5,24.5,173
226,264,0.73,51,34.2,24.8,263
95,81,2.4,146,11.6,23.1,154
150,189,3.03,139,21.9,73.1,188
196,288,0.25,163,24.4,10.5,290
28,286,1.45,110,13.4,20.2,164
186,73,0.26,85,18.3,53.0,135
109,35,2.16,55,11.8,29.8,102
149,27,4.49,33,44.9,17.4,213
198,123,4.91,117,35.8,38.8,264
242,78,3.22,147,13.1,31.9,229
156,59,0.89,132,10.7,50.9,127
85,256,4.54,94,35.2,88.3,184
18,113,2.63,29,25.4,19.9,111
208,241,0.85,193,37.5,39.8,297
37,223,4.62,45,42.3,84.6,149
215,157,3.81,73,31.0,80.1,203
232,226,3.69,8,16.5,41.5,215
137,100,3.57,109,37.4,65.9,186
61,237,1.08,189,43.5,17.0,258
92,21,1.13,35,30.3,67.0,71
120,197,3.47,135,33.9,87.8,187
153,298,1.18,121,21.8,53.0,216
126,165,2.25,199,23.4,49.9,211
78,243,3.93,94,35.7,25.0,235
108,81,3.94,182,42.5,60.7,214
149,258,2.32,149,32.0,57.2,241
34,214,3.98,192,37.6,62.2,210
189,185,4.21,70,16.0,12.1,240
132,241,3.31,92,17.4,53.9,189
222,80,1.22,28,28.6,57.6,157
237,148,1.44,103,16.2,26.6,224
62,192,1.64,164,32.2,26.7,208
160,175,0.67,109,20.2,32.1,191
153,129,1.44,23,37.7,66.9,147
66,288,1.13,70,38.3,58.5,176
48,297,2.33,64,26.2,77.7,136
118,93,4.55,119,16.3,33.7,178
190,226,0.61,198,32.6,83.0,230
51,298,3.63,19,44.7,69.5,178
195,223,3.47,89,31.8,41.6,256
176,180,0.57,167,11.3,17.6,219
151,47,4.62,159,10.6,30.6,190
232,276,2.89,92,21.2,86.5,220
131,184,1.88,11,16.9,34.8,142
142,82,3.81,10,38.5,36.4,178
172,41,1.36,129,39.6,25.2,217
224,89,3.5,37,19.1,74.5,152
230,115,0.29,62,21.4,32.1,187
244,182,4.21,181,18.3,36.4,291
84,98,2.3,149,41.8,43.1,194
155,24,3.22,114,27.6,44.7,173
248,139,1.18,46,33.0,42.9,219
85,197,3.42,98,24.5,50.3,173
18,195,3.88,172,32.1,75.2,164
83,236,2.42,178,23.5,75.5,179
195,75,3.13,133,21.9,73.9,174
245,206,2.34,83,32.2,18.1,287
154,251,4.48,99,30.7,74.0,224
239,274,2.54,115,20.3,19.6,294
16,123,4.22,101,15.2,20.0,137
183,96,4.03,184,22.9,85.8,194
150,249,2.11,167,24.5,75.6,210
177,277,1.23,123,32.0,54.2,242
179,283,2.09,73,42.0,80.0,228
146,201,4.15,137,11.3,89.1,163
187,275,1.22,149,18.5,58.9,225
36,57,2.67,185,16.8,59.0,110
131,195,4.05,56,27.6,70.4,171
203,46,1.83,146,25.0,28.6,213
14,295,3.25,126,35.5,23.4,226
38,159,1.3,33,18.5,70.8,59
174,110,0.64,140,30.8,37.6,206
175,80,3.99,108,40.9,20.8,255
92,182,0.58,5,41.9,35.2,157
145,162,1.43,33,43.6,38.7,197
249,272,4.29,168,37.1,87.2,303
118,288,1.8,183,41.7,65.8,254
74,206,4.87,169,18.2,52.5,199
95,105,4.9,73,16.9,87.5,103
154,185,1.41,57,10.2,82.3,107
80,133,0.3,128,34.7,51.0,152
226,202,3.55,184,42.8,82.5,285
54,226,2.31,92,16.5,42.3,145
141,275,0.59,87,32.3,28.4,229
45,254,3.57,16,36.1,28.6,184
79,22,0.25,56,42.5,63.0,93
168,227,4.36,133,32.6,50.1,263
28,216,0.78,139,44.0,62.7,167
198,144,0.72,149,22.1,64.9,188
117,157,0.96,131,22.2,11.8,200
191,44,4.81,175,29.0,14.3,270
176,87,3.5,75,23.4,52.6,173
100,80,4.03,21,10.0,25.3,117
211,48,2.05,191,35.6,60.6,227
99,38,1.75,7,36.3,54.2,99
28,190,1.25,33,36.1,56.9,112
48,93,2.46,26,22.1,34.2,96
135,80,2.8,170,28.3,61.2,182
204,172,3.2,58,22.6,76.4,177
182,295,1.36,111,10.6,89.8,168
150,67,4.75,182,29.7,77.1,197
229,230,0.93,73,14.3,54.6,196
135,158,4.83,162,12.8,25.5,228
67,129,0.17,155,36.4,64.5,144
157,202,2.46,124,10.3,85.0,148
229,47,1.73,51,43.6,26.9,226
209,216,2.3,153,28.0,30.5,279
70,210,2.9,24,44.4,21.9,203
136,70,2.23,155,12.0,68.9,128
114,168,2.13,153,30.4,42.5,208
176,287,3.69,25,22.2,15.0,250
10,69,3.46,5,39.5,80.0,61
140,265,4.18,147,22.6,54.6,240
214,132,1.32,21,19.1,36.5,169
101,189,3.09,55,40.0,37.5,202
199,185,2.97,195,23.1,33.2,275
200,33,1.91,18,10.6,46.4,111
122,222,2.48,63,23.7,37.0,188
162,208,1.64,87,32.9,53.8,206
65,174,0.8,54,18.9,71.9,80
170,74,1.15,128,25.1,64.0,156
175,201,0.62,38,12.0,33.6,159
126,229,3.45,10,30.6,52.3,179
143,94,3.34,113,36.5,77.2,174
67,296,4.76,53,24.5,15.5,224
53,152,3.68,10,24.7,16.3,146
182,78,0.36,121,13.1,54.5,138
169,201,4.43,122,17.1,61.1,211
182,83,4.33,11,15.4,26.9,167
70,279,2.27,101,26.9,69.6,166
56,212,2.97,183,28.5,61.7,189
158,162,4.88,122,43.2,83.9,227
89,123,2.71,133,12.6,23.5,163
127,233,4.54,145,31.0,70.1,228
222,261,0.51,175,28.4,16.7,304
212,228,1.04,31,28.1,55.2,198
238,112,2.26,120,40.6,54.2,250
173,161,2.97,135,17.2,41.1,211
236,131,4.1,62,11.4,77.6,168
156,78,4.94,93,33.5,10.3,244
29,62,2.01,101,22.1,51.6,86
194,226,0.33,21,10.6,27.4,170
155,287,4.03,177,18.8,69.5,242
56,137,3.06,105,20.8,13.4,169
242,39,1.07,190,31.6,76.5,206
58,241,2.52,188,16.0,77.0,156
23,185,3.74,186,24.5,76.6,151
152,150,3.88,33,26.9,22.2,204
168,175,2.55,106,26.1,60.4,196
10,203,1.6,127,44.1,11.1,209
126,109,4.87,58,11.6,77.8,112
63,113,3.35,31,43.3,67.8,130
127,32,2.1,106,30.4,52.5,144
12,249,1.47,121,37.9,68.4,151
153,45,3.68,108,25.1,17.5,202
224,94,1.29,49,25.9,52.3,172
194,169,0.94,118,40.8,33.3,252
212,167,2.7,91,41.4,87.8,214
21,27,1.52,35,18.4,78.6,6
83,48,3.18,168,17.0,68.7,120
233,228,0.68,193,27.4,84.7,239
25,147,3.31,41,41.5,37.7,151
209,135,1.49,199,21.3,82.1,200
111,163,0.1,40,32.8,36.0,151
213,254,0.72,123,34.8,68.6,240
161,26,4.67,9,37.3,68.9,144
165,64,4.35,178,29.7,11.5,264
126,258,1.24,56,24.1,38.9,184
17,174,3.91,53,43.8,11.6,197
131,200,3.08,10,31.4,89.8,133
101,234,4.86,127,35.5,19.8,271
173,107,1.93,142,22.1,53.4,185
99,275,3.44,122,33.4,73.2,208
145,92,0.41,27,19.0,26.1,126
195,198,2.04,149,18.6,48.8,225
69,231,4.82,114,35.0,58.6,209
187,253,2.74,48,28.2,22.8,249
37,258,1.51,45,33.9,72.3,124
229,242,0.69,147,19.4,33.9,257
110,138,3.55,176,31.0,26.9,237
50,283,3.26,190,25.5,54.7,214
237,226,1.93,54,30.9,42.8,246
201,114,4.76,56,20.2,83.6,161
164,241,0.21,74,35.0,80.4,175
200,295,1.59,195,38.2,48.7,310
154,250,4.61,190,19.1,38.7,273
210,138,1.67,155,20.5,36.0,230
170,287,1.34,176,33.1,31.4,289
221,292,2.72,113,34.3,53.6,285
214,83,4.14,122,34.6,74.4,216
229,30,0.61,113,33.9,34.9,207
249,117,4.72,99,23.7,25.2,268
166,90,4.0,48,23.8,48.0,168
150,77,0.99,184,18.9,15.5,203
55,270,3.59,71,15.5,66.1,137
44,295,1.99,160,34.2,51.5,211
143,69,2.07,71,13.3,49.7,118
91,235,3.94,22,42.8,34.0,215
124,71,4.82,159,38.9,82.4,190
206,290,0.72,183,40.0,17.2,333
56,103,2.16,64,41.7,79.6,109
162,145,2.46,78,24.3,40.1,188
203,91,1.94,53,39.6,80.4,168
19,255,1.88,19,15.5,68.3,75
65,75,0.36,77,10.8,18.3,92
39,129,3.46,147,37.5,76.5,150
118,211,2.24,183,12.6,64.6,178
14,112,1.05,52,44.6,12.6,148
128,75,4.1,76,33.6,20.7,204
42,79,4.03,117,36.4,60.9,143
127,157,2.48,133,18.6,63.0,162
74,58,1.56,139,33.6,69.7,123
155,47,3.23,57,11.5,67.6,102
233,68,1.51,163,39.3,62.8,233
248,144,1.26,22,15.9,71.3,149
186,32,3.68,16,34.4,56.0,158
20,55,0.3,52,17.9,30.9,55
94,120,0.56,34,12.4,83.0,43
35,105,0.13,101,26.9,11.5,133
72,23,0.85,11,15.9,39.3,48
226,242,0.44,96,35.5,68.3,231
95,185,4.98,117,18.3,44.2,192
68,297,1.52,7,22.0,12.0,173
36,149,0.83,111,29.9,15.3,159
186,50,1.28,67,20.0,61.9,125
214,30,4.69,138,23.2,87.2,177
170,115,2.65,106,38.5,54.1,211
107,209,1.89,19,16.3,50.5,124
114,211,4.38,175,12.9,35.5,224
108,285,2.04,95,21.5,30.5,210
138,147,1.74,85,24.9,11.7,202
158,257,1.12,150,29.0,31.8,253
249,131,1.95,154,23.0,45.9,245
64,164,1.65,65,37.6,25.8,173
15,84,3.42,124,11.4,17.0,122
229,266,1.52,65,25.1,67.4,218
218,242,2.93,57,23.4,81.6,198
206,125,0.42,30,32.7,84.9,137
104,200,1.04,119,43.8,59.4,198
142,203,2.1,44,27.9,14.2,212
111,245,4.69,92,44.5,69.3,232
12,284,1.95,120,20.6,18.8,181
190,297,3.35,140,11.1,63.6,232
32,108,1.35,25,15.8,72.3,31
238,195,0.72,47,23.8,68.1,183
62,37,0.39,25,21.1,86.2,12
174,125,1.6,135,13.4,69.1,152
211,290,0.87,35,25.1,65.5,199
211,186,0.95,159,21.8,30.9,247
92,32,3.83,31,14.3,84.0,50
154,51,0.18,77,20.4,24.4,141
94,59,2.83,189,41.0,82.4,168
87,167,1.96,101,20.6,35.0,159
210,237,2.58,165,35.0,20.4,317
119,238,2.86,94,31.4,76.1,183
10,101,1.64,48,25.0,10.2,110
60,227,1.55,47,18.4,76.6,92
182,220,3.69,35,22.9,31.0,222
214,57,4.37,121,30.7,80.8,196
13,230,1.04,197,22.3,65.3,144
199,268,0.58,80,17.5,63.3,189
202,246,4.5,149,14.1,39.2,268
122,67,1.81,147,40.8,14.8,224
241,37,2.8,38,25.4,76.4,149
41,215,1.86,84,31.9,23.7,177
43,206,0.72,8,27.2,39.8,108
101,243,2.99,76,40.5,58.0,206
104,248,2.67,102,29.1,48.6,203
81,96,1.09,114,26.8,25.9,153
48,207,2.31,32,42.4,21.2,185
163,289,4.01,134,35.2,19.9,312
171,114,2.99,21,13.9,79.0,106
191,151,0.57,62,16.2,12.5,191
127,58,2.79,131,37.5,88.2,148
12,91,3.54,13,39.3,25.9,126
132,179,3.98,35,29.1,18.8,212
59,206,3.18,198,29.4,56.2,204
21,210,0.85,92,32.1,16.4,166
202,139,3.58,66,25.4,58.2,197
63,239,3.42,23,33.8,78.1,136
245,72,0.22,85,13.8,13.8,194
142,241,2.12,111,43.6,74.0,222
231,150,1.73,59,36.3,41.6,232
231,256,3.38,160,32.1,22.8,331
66,265,1.16,116,21.1,24.1,188
154,245,3.0,127,15.6,83.5,179
121,227,4.57,182,24.3,18.8,276
56,115,4.01,69,33.2,79.3,117
160,219,4.62,128,32.2,53.5,254
216,266,4.89,7,23.4,13.1,273
238,91,0.15,184,31.5,47.2,237
94,204,3.15,142,38.5,75.4,198
151,25,2.12,25,10.9,68.1,67
75,225,4.31,41,25.8,49.1,167
84,51,1.33,19,36.5,78.8,72
188,118,4.91,91,29.1,19.6,253
112,275,3.11,124,32.8,82.8,202
175,206,3.99,141,28.1,77.7,224
201,95,0.52,48,44.7,66.7,176
235,196,1.0,43,11.9,75.4,151
47,274,3.82,137,27.2,53.5,199
59,209,0.21,29,13.2,64.0,68
107,146,4.1,60,15.6,54.8,138
91,273,0.17,125,23.4,38.4,187
39,232,3.32,94,15.4,55.5,135
88,269,1.89,68,43.7,30.6,227
100,103,3.1,184,43.1,45.2,226
188,32,3.51,93,21.8,32.5,186
200,64,1.78,116,32.4,19.8,228
235,146,0.63,80,28.7,35.7,221
61,133,0.44,141,38.5,78.2,130
175,295,2.99,142,32.0,40.5,286
234,224,2.65,14,10.0,69.8,166
225,292,3.74,66,36.7,24.0,313
88,77,2.6,94,36.1,44.0,158
39,238,2.17,64,27.8,19.2,174
115,128,2.05,151,41.6,21.1,238
60,298,0.23,111,41.8,59.4,190
90,193,1.74,42,28.3,58.6,135
142,283,4.88,138,31.3,27.1,295
38,130,4.38,147,44.9,48.0,202
141,206,1.71,51,20.5,79.1,131
147,288,2.98,177,21.4,23.9,279
193,248,4.25,137,16.4,11.5,289
154,175,2.26,82,41.4,62.2,205
83,208,0.19,57,36.1,14.3,186
26,291,0.47,198,13.7,88.4,123
93,21,2.6,66,44.4,58.8,135
225,265,4.85,27,35.6,47.6,274
78,229,3.5,48,39.8,44.4,197
43,32,0.45,56,11.7,55.8,25
15,115,1.03,50,27.7,17.2,110
62,240,3.88,151,34.5,84.4,186
203,257,4.22,88,29.0,60.1,253
214,113,3.13,51,33.3,24.7,234
135,288,3.26,95,38.6,55.0,246
244,190,0.24,56,23.1,20.7,229
52,113,4.16,28,39.7,11.4,180
249,168,3.96,149,15.7,60.4,245
212,131,1.37,93,19.5,61.9,173
124,74,3.57,178,11.5,56.7,157
120,135,1.15,68,22.8,24.7,160
160,162,0.3,123,23.3,58.3,169
192,220,1.09,160,38.2,14.5,298
89,199,0.98,182,32.9,58.7,193
104,221,1.75,68,25.3,54.3,159
212,72,2.15,160,32.8,62.4,216
127,199,2.59,90,11.8,81.6,127
153,156,2.44,60,16.3,78.0,126
17,201,1.43,63,31.9,88.5,83
141,20,0.24,137,32.4,88.1,110
113,63,3.06,186,37.1,71.8,182
141,246,2.04,176,24.1,86.5,196
193,117,1.56,174,35.3,79.4,208
34,227,4.35,129,33.9,68.2,179
204,284,3.76,189,43.7,16.0,371
105,290,4.3,51,17.5,13.9,224
204,159,2.53,125,29.3,77.0,206
164,256,0.74,157,31.1,49.2,242
102,91,3.51,106,45.0,75.2,170
169,174,1.11,48,17.0,35.0,166
187,209,2.26,19,28.3,41.8,201
70,287,0.42,109,22.1,66.0,147
131,126,4.14,55,28.4,83.2,140
60,251,0.72,57,18.1,17.0,154
156,61,4.53,38,11.7,78.9,101
30,209,4.33,128,30.0,73.4,158
14,158,2.38,81,21.8,35.2,118
219,122,3.75,140,16.4,38.4,233
101,190,3.14,127,21.3,13.7,218
179,292,4.04,74,11.7,11.3,259
70,240,2.22,25,43.3,48.2,177
31,232,3.95,112,30.3,17.6,212
158,75,2.37,112,38.5,25.5,221
79,121,4.71,139,24.8,77.7,150
10,211,2.48,94,41.6,55.7,158
142,219,2.37,83,26.9,60.7,186
242,252,3.95,188,30.1,25.0,346
21,246,4.13,181,27.2,76.3,176
99,158,2.82,46,35.7,79.4,135
55,168,0.98,155,29.8,51.9,157
43,134,2.39,56,19.5,83.0,64
186,82,4.84,106,15.1,77.6,161
87,123,3.79,109,31.2,68.5,155
227,175,4.07,83,27.1,68.7,225
54,292,0.26,116,13.4,18.4,172
164,25,2.39,185,23.8,31.7,203
82,166,3.27,108,28.0,15.3,207
35,203,4.17,20,38.9,10.7,195
56,47,0.34,100,12.7,22.7,88
130,57,4.28,41,22.2,80.4,105
223,138,2.79,150,38.8,29.2,289
248,263,1.07,152,32.7,87.6,252
65,87,1.65,50,20.1,57.8,77
103,233,1.48,6,39.6,29.0,188
116,237,2.7,123,27.3,49.8,210
72,196,0.35,91,27.4,27.5,162
57,183,0.88,98,44.2,88.7,131
70,77,4.08,195,43.1,77.8,185
90,288,0.75,7,22.5,12.1,174
35,77,1.24,178,14.9,85.8,68
45,124,2.32,115,21.4,67.7,103
10,247,2.63,181,11.1,16.6,183
17,266,3.84,5,10.7,63.7,86
122,207,2.29,109,23.8,61.8,175
108,102,3.97,26,42.9,27.5,193
189,205,3.13,146,40.5,70.7,256
216,271,0.65,177,27.9,17.0,305
56,257,0.87,138,29.8,49.2,179
136,203,2.24,69,10.2,10.8,188
65,229,2.04,25,17.5,87.5,79
223,116,3.74,8,10.9,70.1,138
23,227,2.95,135,36.4,22.7,213
227,156,2.0,117,15.1,37.3,220
37,203,0.94,34,40.4,22.8,160
224,95,1.21,35,32.5,71.3,160
87,161,2.92,166,18.0,14.7,208
225,256,2.17,24,15.5,77.2,174
139,44,2.62,58,32.0,85.4,110
118,86,0.94,130,41.5,64.1,165
163,269,3.35,157,35.1,27.0,301
23,137,4.28,19,22.2,38.8,108
196,92,1.36,170,30.6,48.2,220
65,29,2.51,155,20.9,58.4,111
124,230,4.88,184,45.0,63.5,279
16,171,1.73,198,36.2,54.3,173
12,24,3.02,189,31.5,38.1,143
120,214,0.54,61,24.8,81.3,122
160,132,3.07,83,31.6,16.5,230
247,290,0.54,184,22.0,47.3,286
116,182,4.8,167,11.0,72.0,177
248,124,3.61,18,23.8,14.9,237
246,200,3.96,95,42.6,66.4,279
27,63,3.55,18,31.9,75.6,63
47,194,2.99,103,12.9,62.9,115
236,181,2.3,37,41.0,11.0,281
124,159,4.31,184,19.4,24.4,240
24,151,4.79,5,18.5,37.4,106
201,106,2.55,38,20.4,28.7,185
226,195,4.66,23,30.2,87.0,200
128,202,2.96,156,29.1,62.1,212
238,148,2.74,8,27.2,33.8,214
37,265,2.33,168,35.1,84.4,174
211,108,1.13,81,21.1,69.2,154
48,85,0.12,62,37.4,32.8,117
194,177,1.28,164,16.1,40.3,220
26,168,2.6,141,37.4,26.0,194
240,135,1.96,107,33.2,87.7,201
95,233,2.3,71,33.9,51.4,185
227,272,4.91,120,26.9,81.7,264
135,162,1.82,152,33.3,37.7,224
53,269,2.32,124,12.8,78.9,126
34,44,0.75,194,39.8,14.3,180
154,296,0.33,190,11.9,88.6,180
22,89,3.9,26,15.2,83.0,34
221,132,2.9,116,30.2,39.1,246
34,131,3.83,199,35.9,72.0,174
77,110,0.83,79,12.7,70.2,66
147,37,2.9,180,42.2,82.1,187
76,168,1.34,140,44.1,34.6,211
242,246,1.22,147,31.2,47.2,281
118,233,0.16,36,26.8,79.2,119
155,170,0.74,185,35.9,72.3,209
120,211,1.62,71,21.5,41.5,169
237,59,0.67,8,27.3,77.7,122
120,261,4.93,34,42.1,13.8,271
223,157,1.61,17,43.4,72.6,195
43,199,0.74,25,42.4,26.5,156
120,219,1.08,45,19.2,32.9,160
17,222,2.98,125,18.1,49.5,141
177,80,0.41,23,20.4,46.0,120
122,211,4.33,52,25.4,51.6,187
245,24,4.81,90,21.0,53.6,202
92,256,1.31,67,23.1,36.5,172
51,200,2.31,152,31.7,24.0,208
178,56,0.21,196,36.7,71.5,188
110,75,3.24,41,35.7,42.0,155
15,256,2.13,35,38.5,50.5,146
189,216,1.42,78,11.1,61.6,165
35,92,1.11,150,11.7,82.8,56
73,78,3.3,111,37.6,66.6,145
235,259,2.14,107,28.7,13.6,303
196,21,0.98,114,30.2,77.1,143
193,207,3.48,24,11.8,89.1,137
68,49,2.87,143,18.9,47.8,124
118,286,4.31,90,32.3,87.6,200
207,127,0.68,48,40.1,53.8,194
238,109,3.95,86,42.1,46.8,263
130,224,3.4,68,27.5,36.5,211
42,239,0.66,126,29.1,62.6,145
190,113,3.5,166,39.2,28.4,280
159,122,2.26,91,28.8,18.4,214
30,242,4.73,69,28.1,12.2,206
207,205,0.79,59,41.7,33.4,246
79,203,3.25,78,37.6,41.7,197
121,181,1.97,121,41.8,54.2,212
13,266,4.79,133,17.6,33.4,189
103,50,1.72,170,28.4,88.7,119
84,71,4.81,141,39.5,33.3,213
199,95,4.52,99,13.9,45.3,195
71,297,1.42,149,37.8,18.3,255
103,59,4.04,103,16.4,30.9,152
104,120,4.98,116,38.3,13.9,246
161,130,1.34,56,31.4,54.8,163
64,268,2.24,150,16.8,70.1,158
146,210,2.65,195,26.6,25.7,268
140,201,1.55,37,33.9,39.4,189
40,228,0.17,8,32.2,11.3,146
49,41,1.18,91,25.0,77.2,57
238,185,1.48,79,41.5,72.4,231
45,118,2.27,184,28.2,15.1,195
161,227,0.94,13,27.7,39.2,179
232,27,4.38,68,12.2,86.4,133
15,209,3.55,34,42.3,41.4,162
75,194,0.52,140,16.2,52.1,137
221,292,3.29,137,28.5,38.4,304
229,36,3.3,80,38.1,57.7,208
84,109,4.79,195,17.5,88.3,147
13,160,0.11,133,28.5,89.8,76
88,164,1.31,19,18.4,72.0,78
143,185,4.65,93,36.6,42.3,241
127,97,4.67,170,29.8,49.6,217
122,281,3.63,174,40.0,38.5,292
103,182,3.85,132,41.3,88.8,191
239,33,0.55,178,32.7,66.6,204
188,258,2.62,185,35.4,45.9,296
71,91,1.23,30,29.2,11.0,134
194,162,0.99,65,23.5,51.6,176
203,288,4.07,127,32.7,88.7,256
88,260,0.76,71,41.8,51.8,189
212,264,2.4,186,24.6,24.6,308
145,182,4.7,154,21.0,11.8,265
35,79,1.01,30,23.6,38.4,72
188,25,4.89,87,25.2,83.5,152
182,216,4.97,112,12.6,89.7,185
53,77,2.82,115,27.4,85.6,93
142,236,0.93,64,27.3,68.4,162
79,45,1.65,43,30.6,54.7,93
163,24,2.18,127,22.7,57.3,149
127,39,1.62,40,31.5,53.1,117
77,217,1.48,25,40.7,66.6,143
28,78,4.86,173,43.4,43.5,198
221,261,0.85,122,30.4,63.5,243
234,165,3.69,52,11.5,19.7,227
29,292,0.1,30,43.9,31.3,171
122,268,3.02,195,34.7,76.9,242
149,33,4.59,40,21.8,82.3,107
56,32,1.51,156,15.2,53.1,92
10,63,1.01,132,15.0,12.5,104
99,38,3.29,153,15.9,84.2,102
151,82,3.59,150,11.6,66.2,153
73,258,3.47,19,41.6,43.1,196
47,119,1.66,83,28.9,57.9,108
46,182,1.34,138,34.5,44.4,170
135,141,4.78,175,39.0,47.2,258
148,63,4.62,163,37.7,80.9,198
109,164,2.34,32,40.9,22.9,198
86,69,4.25,140,43.9,18.3,231
244,84,2.32,161,25.4,10.2,275
12,183,2.18,153,43.3,35.1,195
170,160,0.87,124,35.3,21.8,240
143,147,2.19,92,12.5,27.6,171
187,258,2.73,190,33.9,10.9,331
19,206,0.21,192,34.0,28.2,190
14,227,2.28,182,41.7,36.6,217
160,239,3.93,35,23.1,12.5,238
147,209,3.43,51,30.5,58.6,193
181,256,3.21,38,10.4,55.5,179
139,213,4.56,6,21.6,17.8,206
22,278,0.19,110,12.2,57.6,107
177,265,2.83,199,28.3,89.9,242
139,155,3.96,98,38.6,85.6,186
93,299,2.75,76,17.2,10.2,218
74,290,1.69,56,28.5,73.6,146
72,190,0.77,139,17.1,38.3,152
110,178,4.45,151,14.2,15.1,226
82,220,2.41,94,27.9,33.7,190
26,64,4.4,96,12.8,35.7,104
18,283,2.97,147,30.6,51.9,191
212,90,3.4,82,11.1,62.9,159
152,122,4.04,180,13.7,69.9,182
161,144,3.33,129,29.2,29.7,237
47,249,2.05,146,30.7,35.7,202
172,165,2.62,135,11.0,34.7,203
103,216,4.03,54,30.1,39.0,199
104,240,1.93,97,39.3,90.0,170
58,79,2.0,128,35.3,72.2,122
78,117,0.57,58,14.6,88.0,44
71,190,4.58,138,30.7,65.4,189
197,192,0.55,181,33.5,42.5,258
245,170,3.28,155,11.3,41.2,249
187,141,2.12,82,39.9,49.1,220
87,127,2.09,82,41.7,43.3,175
126,23,3.43,24,39.8,76.3,117
129,112,0.43,95,38.9,47.2,171
212,25,3.01,192,36.1,33.6,259
146,125,3.88,103,32.2,72.0,182
171,165,4.16,177,33.8,78.4,236
85,290,0.94,193,38.2,43.6,248
236,115,4.5,60,33.2,63.4,224
44,248,3.32,6,21.5,14.7,160
10,221,4.42,109,23.2,52.4,153
49,231,2.48,177,41.4,13.6,258
73,25,2.76,172,10.6,12.3,149
159,131,4.6,116,34.5,59.0,221
69,125,4.51,28,43.4,34.3,180
73,158,2.3,161,34.7,69.4,171
102,115,1.44,199,44.8,81.7,187
81,233,2.03,113,34.1,21.2,222
20,41,2.0,72,11.2,68.0,25
114,212,1.51,118,38.9,51.2,209
238,169,1.42,198,20.0,19.0,284
23,266,4.32,88,25.6,62.1,158
69,286,0.44,186,20.9,58.8,182
39,270,3.42,185,19.4,51.3,196
44,22,0.95,53,25.1,84.1,25
222,95,1.79,36,23.3,51.7,166
174,106,0.4,65,32.2,89.2,124
14,289,1.42,174,38.5,50.7,203
92,244,3.87,133,20.4,19.3,232
132,37,4.44,195,17.5,47.6,186
87,132,1.19,106,33.3,24.6,179
163,270,2.37,39,33.5,57.8,211
71,252,2.4,55,41.5,65.5,174
141,298,4.38,49,10.6,47.5,196
98,221,3.84,81,39.9,17.8,248
246,102,2.61,117,28.2,47.5,235
51,144,3.39,69,31.7,16.5,177
98,194,4.25,18,13.2,64.6,118
155,88,0.15,97,25.1,73.2,121
49,66,2.07,135,18.0,87.0,68
81,275,4.55,28,18.9,21.9,195
48,234,3.73,69,27.6,52.6,161
113,49,2.76,180,38.4,55.4,192
23,256,2.7,142,36.0,83.8,160
41,267,1.8,17,30.7,60.2,126
188,44,2.65,146,28.9,21.6,228
134,93,3.31,104,25.0,44.9,174
175,225,2.15,142,44.0,62.4,258
106,113,3.6,172,29.6,66.0,184
32,146,4.32,155,18.9,79.0,123
72,44,0.86,103,18.1,24.4,110
152,135,2.31,59,31.4,86.1,139
234,67,2.1,67,28.3,14.7,226
162,245,3.47,75,10.3,88.7,151
154,285,1.32,174,39.1,78.6,244
234,118,3.24,103,34.6,62.8,232
248,30,4.4,70,33.2,68.8,202
203,104,2.15,83,12.4,15.8,196
215,233,4.56,77,22.7,13.3,285
62,192,4.97,51,42.7,18.1,226
113,228,0.62,85,40.2,17.0,228
113,83,1.24,130,20.0,53.8,132
188,277,4.76,56,15.5,27.2,250
